name,title,date,url
나인하이어,[패스트캠퍼스] [전환형인턴] 콘텐츠 상품 기획자: 4달간 1억 ...,2024. 7. 25.,https://day1company.ninehire.site
예스24,기획자의 SQL,2024. 6. 20.,https://m.yes24.com
서울문화포털,[종로여성새로일하기센터] 문화기획Culture Economics 전문가 ...,2024. 3. 28.,https://culture.seoul.go.kr
전통공연예술진흥재단,2024 전통예술기획자양성 프로젝트 참가자 모집공고,2024. 5. 21.,https://www.kotpa.org
경기도일자리재단,신청/발표 - AI로 데이터 읽는 서비스기획자 양성」 교육생 모집,2024. 7. 16.,https://www.gjf.or.kr
TIPS 프로그램,[한국액셀러레이터협회] 2024 제 4회 창업기획자 준법감시인 ...,2024. 2. 21.,https://www.jointips.or.kr
경기청년포털,[광명문화재단] 청년문화기획자 양성사업 '광명 샛별단' 모집,2024. 6. 2.,https://youth.gg.go.kr
이랜서,'N사 서비스 기획자'의 업무 시간 단축 노하우를 알려드립니다.,2024. 1. 26.,https://www.elancer.co.kr
allo.blog,게임 기획자라면 반드시 알아야 할 초기 기획 툴 세 가지,2024. 5. 20.,https://allo.blog
요즘IT,서비스 기획자가 '데이터 툴' 활용하는 법 - 요즘IT - 위시켓,2024. 7. 26.,https://yozm.wishket.com
온라인MICE연수원,MICE 전시 기획 과정,2024. 1. 1.,https://www.e-micekorea.or.kr
광명문화재단,광명문화재단 - 열린광장 > 보도자료,2024. 5. 20.,https://m.gmcf.or.kr
티스토리,[기획 강의_레브 인사이트] 상위기획과 요구사항정의_240728,2024. 7. 28.,https://seeker-aiden.tistory.com
강남구청,강남문화재단 > 열린광장 > 공지사항,2024. 3. 25.,https://www.gangnam.go.kr
인프런,웹기획 기초과정 [프로젝트 표준 워크플로] 강의 | 미노플라넷,2024. 3. 15.,https://www.inflearn.com
MBC아카데미문화연출학부,2024년 '스토리 IP 기획개발 마스터' 과정 모집중!,2024. 4. 3.,http://mbcac.or.kr
그리팅,서비스기획자 (PO),2024. 5. 27.,https://wefuncorp.career.greetinghr.com
k-aia.or.kr,초기투자액셀러레이터협회,2024. 1. 19.,No URL available
마포청년나루,[행사] [참여자결과공유회] 기획자 쇼케이스_지역기반 문화 ...,2024. 7. 31.,https://www.naroo.or.kr
CJ 올리브영 채용블로그,플랫폼 기획 직무는 쉽게 이야기해서 '건축'과 비슷합니다.,2024. 1. 8.,https://career.oliveyoung.com
문학뉴스,전시기획자 양성프로그램 수강생 모집,2024. 5. 26.,http://www.munhaknews.com
뷰티풀라이프.com,A&R : 음반을 기획하는 사람 : 엔터취업 칼럼 - 뷰티풀라이프,2024. 2. 11.,https://뷰티풀라이프.com
Social Value Connect,[초기투자액셀러레이터협회] 제16기 창업기,2024. 7. 17.,https://m.socialvalueconnect.com
velog,기획자는 대체 뭘 하나요? - 서비스 기획에 대하여,2024. 2. 24.,https://velog.io
원티드,[머니투데이] [GenAI] IT 서비스 기획자 채용 공고,2024. 5. 31.,https://www.wanted.co.kr
브런치스토리,기획이 뭔가요?,2024. 7. 1.,https://brunch.co.kr
디지털타임스,"디지털미디어산업진흥협회, 디지털미디어 콘텐츠 기획자 ...",2024. 3. 6.,http://www.dt.co.kr
경상남도교육청,경남 그린스마트 미래학교 - 학교 업무담당자,2024. 4. 12.,No URL available
웰로,문화 기획자 되고 싶은 청년들 모여라... 교육 과정 진행,2024. 4. 8.,https://www.welfarehello.com
티스토리,꿈꾸는 기획자,2024. 3. 24.,No URL available
이지스퍼블리싱,Do it! 웹 사이트 기획 입문 - 전면 개정판,2024. 1. 5.,http://www.easyspub.co.kr
교보문고,콘텐츠기획자 검색결과,2024. 4. 24.,https://search.kyobobook.co.kr
나인하이어,[스노우볼] [경력] B2G 교육 상품 기획자/운영매니저,2024. 3. 18.,https://day1company.ninehire.site
티스토리,"세균무기, 지구별에 기록을 남기다!",2024. 4. 17.,No URL available
IN THIS WORK,콘텐츠 기획자 면접갈 때 꼭 알아야 할 내용,2024. 5. 21.,https://inthiswork.com
