keyword,name,title,date,url
기획자 과정,한국문화예술위원회,교육 | 아르코예술인력개발원 메뉴관리,2024. 7. 17.,https://www.arko.or.kr/develop/board/view/594?bid=392&cid=715291
기획자 과정,한국공학대학교,이커머스 상품기획자,2024. 5. 30.,https://www.tukorea.ac.kr/mirae/7674/subview.do
기획자 과정,온오프믹스,[K-디지털트레이닝] 멀티 디바이스 메타버스 플랫폼 게임 ...,2024. 2. 21.,https://onoffmix.com/event/293229?srsltid=AfmBOoqexJs4lccLZaVeRAa6WApPFDF6492TILcd3bjipm7SVPcdY9QO
기획자 과정,얼싱팩,얼싱팩과 함께함 청년취업사관학교 강동캠퍼스 데모데이,2024. 4. 9.,https://earthingpack.com/%EC%96%BC%EC%8B%B1%ED%8C%A9%EA%B3%BC-%ED%95%A8%EA%BB%98%ED%95%9C-%EC%B2%AD%EB%85%84%EC%B7%A8%EC%97%85%EC%82%AC%EA%B4%80%ED%95%99%EA%B5%90-%EA%B0%95%EB%8F%99%EC%BA%A0%ED%8D%BC%EC%8A%A4-%EB%8D%B0/
기획자 과정,belocal.kr,"시흥시, 「2024 청년문화기획자 양성과정」 참가자 모집 - 비로컬",2024. 4. 16.,https://www.belocal.kr/news/articleView.html?idxno=2243766
기획자 과정,성신여자대학교,공지사항 - [2024 캠퍼스타운] 문화 콘텐츠 기획자 양성 ...,2024. 6. 19.,https://www.sungshin.ac.kr/design/19900/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGZGVzaWduJTJGNDkxNiUyRjEzMTY2OCUyRmFydGNsVmlldy5kbyUzRg%3D%3D
기획자 과정,그리팅,서비스기획자 (PO),2024. 5. 27.,https://wefuncorp.career.greetinghr.com/o/114113
기획자 과정,하자센터,[모집] 문화공간 기획 작업장 참가자 모집,2024. 6. 25.,https://haja.net/nowonhaja/34149
기획자 과정,광주비엔날레,광주비엔날레 아카데미 2024 전문기획자 양성프로그램 ...,2024. 7. 18.,http://www.gwangjubiennale.org/gb/Board/11726/detailView.do
기획자 과정,빛고을 50+ 센터,로컬(공정)여행 기획자 양성과정,2024. 7. 16.,http://www.gj50plus.or.kr/main/board/1/read/473
기획자 과정,소셜임팩트뉴스,"경기 시흥시, '2024 청년문화기획자 양성과정' 참가자 모집",2024. 4. 17.,https://www.socialimpactnews.net/news/articleView.html?idxno=2081
기획자 과정,구리시청년내일센터,[일자리/취업] [디지털미디어산업협회] 청년일자리 경험 ...,2024. 7. 3.,https://guristartup.or.kr/bbs/board.php?bo_table=cbusiness&wr_id=1280
기획자 과정,광주시문화재단,[외부사업 정보 공유] YDP크리에이터 마을축제 기획자 양성 ...,2024. 7. 30.,https://www.nsart.or.kr/board/general.do?act=read&bpoId=967&bcaId=0&pageIndex=1
기획자 과정,내일배움캠프,앱 개발 프로세스로 살펴보는 기획자에게 필요한 개발 지식,2024. 4. 18.,https://nbcamp.spartacodingclub.kr/blog/%EC%95%B1-%EA%B0%9C%EB%B0%9C-%ED%94%84%EB%A1%9C%EC%84%B8%EC%8A%A4%EB%A1%9C-%EC%82%B4%ED%8E%B4%EB%B3%B4%EB%8A%94-%EA%B8%B0%ED%9A%8D%EC%9E%90%EC%97%90%EA%B2%8C-%ED%95%84%EC%9A%94%ED%95%9C-%EA%B0%9C%EB%B0%9C-%EC%A7%80%EC%8B%9D-18980
기획자 과정,동부여성발전센터,교육 프로그램 신청 | 동부여성발전센터 - 서울우먼업,2024. 5. 15.,https://dongbu.seoulwomanup.or.kr/dongbu/edu/selectRealEduProgram.do?sch_class_code=C100141976
기획자 과정,boottent.com,천재IT교육센터 에듀테크 PM(서비스·콘텐츠 기획자) 교육 과정 ...,2024. 5. 8.,https://boottent.com/camps/genia-pm_20240508145927
기획자 과정,Facebook,동작여성인력개발센터 - 당신에게 꼭 맞는 디지털헬스케어,2024. 6. 4.,https://www.facebook.com/dongjakwoman/posts/%EB%94%94%EC%A7%80%ED%84%B8%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B8%B0%ED%9A%8D%EC%9E%90-%EA%B3%BC%EC%A0%95-%EB%8B%B9%EC%8B%A0%EC%97%90%EA%B2%8C-%EA%BC%AD-%EB%A7%9E%EB%8A%94-%EB%94%94%EC%A7%80%ED%84%B8%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4-%EA%B5%90%EC%9C%A1%EA%B8%B0%EA%B0%84-202407230920-%EA%B5%90%EC%9C%A1%EC%8B%9C%EA%B0%84-%EC%9B%94%EA%B8%88-10001700-%EA%B5%90%EC%9C%A1%EC%8B%9C%EC%88%98-40%EC%9D%BC/869614831876843/
기획자 과정,티스토리,기획자에 대한 유형 구분과 우수한 기획자와 일 하는 방법,2024. 4. 18.,https://applefish03.tistory.com/entry/%EA%B8%B0%ED%9A%8D%EC%9E%90-%EC%9C%A0%ED%98%95-%EA%B5%AC%EB%B6%84-%EC%9A%B0%EC%88%98%ED%95%9C-%EA%B8%B0%ED%9A%8D%EC%9E%90%EC%99%80-%EC%9D%BC-%ED%95%98%EB%8A%94-%EB%B0%A9%EB%B2%95
기획자 과정,온라인MICE연수원,MICE 전시 기획 과정,2024. 1. 1.,https://www.e-micekorea.or.kr/course/course_list.jsp?cid=S00000001SC00000010&mid=S00000001SC00000001
기획자 과정,두나무,플랫폼 기획자,2024. 7. 2.,https://www.dunamu.com/careers/jobs/1003
기획자 과정,국내도서,기획자의 탄생 | 박준서 - 교보문고,2024. 4. 11.,https://product.kyobobook.co.kr/detail/S000212779442
기획자 과정,경기문화재단,교육 2024 경기문화기획학교 <031탐정단>,2024. 7. 11.,https://ggcf.kr/edus/390
기획자 과정,나인하이어,[패스트캠퍼스] [전환형인턴] 콘텐츠 상품 기획자: 4달간 1억 ...,2024. 7. 25.,https://day1company.ninehire.site/job_posting/PEAyrw1b
기획자 과정,트레바리,독서모임 | 기획자들의 비밀 서재,2024. 2. 25.,https://m.trevari.co.kr/product/d192e1c9-34a9-4cab-a758-29b211488ed5
기획자 과정,충북대학교,2. 2024 아르코문화예술전문가코스(현장 및 ...,2024. 7. 16.,https://hrd.chungbuk.ac.kr/?module=file&act=procFileDownload&file_srl=1657&sid=cf513d5fa1b7c793ca67a5165fdf958d&module_srl=238
기획자 과정,이삼오구 채용,상품기획자(테크/공산품),2024. 7. 4.,https://www.2359-recruit.co.kr/recruit/merchandiser
기획자 과정,경기도일자리재단,신청/발표 - AI로 데이터 읽는 서비스기획자 양성」 교육생 모집,2024. 7. 16.,https://www.gjf.or.kr/main/pst/view.do?pst_id=notice_ap&pst_sn=199108&search=
기획자 과정,웰로,마을 문화해설 기획자과정 교육생 모집_장해주기자,2024. 4. 22.,https://www.welfarehello.com/community/hometownNews/acf6d3b3-df64-4295-8741-6d219525ae01
기획자 과정,광주시문화재단,[외부사업 정보 공유] YDP크리에이터 마을축제 기획자 양성 ...,2024. 7. 30.,https://www.nsart.or.kr/board/general.do?act=read&bpoId=967&bcaId=0&pageIndex=1
기획자 과정,TIPS 프로그램,[한국액셀러레이터협회] 2024 제 4회 창업기획자 준법감시인 ...,2024. 2. 21.,https://www.jointips.or.kr/bbs/board.php?bo_table=event&wr_id=1314
